step,energy_sample_time_fs,position_time_fs,temperature_K,potential_Ry,kinetic_Ry,total_Ry,scf_iterations,early_diagonalization_warning_count,scf_estimated_accuracy_Ry,total_change_meV_atom
20,18.3835208814,19.351074611999998,118.67047287,-33.51149767,0.00789195,-33.50360573,7,0,3.4e-12,-4.578706899554318
21,19.351074611999998,20.3186283426,128.82986943,-33.5107882,0.00856758,-33.50222062,7,0,3.6e-12,-2.223034199365792
22,20.3186283426,21.2861820732,138.72367939,-33.51004471,0.00922555,-33.50081916,7,0,2.7e-12,0.16044513615965408
23,21.2861820732,22.253735803799998,99.17037374,-33.50927156,0.00659513,-33.50267642,7,0,1.7e-12,-2.998218565044043
24,22.253735803799998,23.2212895344,117.44801662,-33.50863152,0.00781065,-33.50082086,6,0,7.7e-11,0.15755392637348373
25,23.2212895344,24.188843265,94.9094571,-33.50794954,0.00631177,-33.50163778,6,0,7.4e-11,-1.2317914268902983
26,24.188843265,25.156396995599998,102.57559247,-33.50736291,0.00682159,-33.50054132,6,0,4.5e-11,0.6329708583134493
27,25.156396995599998,26.1239507262,104.7174248,-33.50678377,0.00696403,-33.49981974,6,0,4.4e-11,1.860170363781497
28,26.1239507262,27.0915044568,124.8555102,-33.50623551,0.00830327,-33.49793224,6,0,3.7e-11,5.070263584991742
29,27.0915044568,28.059058187399998,141.59598195,-33.50567604,0.00941656,-33.49625948,6,0,2.6e-11,7.915145988541048
30,28.059058187399998,29.026611918,153.08311867,-33.50512198,0.01018049,-33.49494148,6,0,2.1e-11,10.156683930550416
31,29.026611918,29.9941656486,170.43157562,-33.5045901,0.01133422,-33.49325588,6,0,3.2e-11,13.023403471568383
32,29.9941656486,30.961719379199998,161.74960538,-33.50407371,0.01075684,-33.49331687,6,0,5.3e-11,12.919677068619436
33,30.961719379199998,31.9292731098,159.34390557,-33.50361901,0.01059685,-33.49302215,6,0,6.7e-11,13.42091080326954
34,31.9292731098,32.896826840399996,182.41205331,-33.50321839,0.01213096,-33.49108743,6,0,9.5e-11,16.711311628136585
35,32.896826840399996,33.864380571,173.5032727,-33.5028372,0.0115385,-33.4912987,7,0,1.1e-12,16.352002279872664
36,33.864380571,34.8319343016,137.0896081,-33.50251258,0.00911688,-33.4933957,7,0,2.1e-12,12.785609970009345
37,34.8319343016,35.799488032199996,132.40881446,-33.5022767,0.00880559,-33.49347111,7,0,3e-12,12.657359305207216
38,35.799488032199996,36.7670417628,107.18646417,-33.50209816,0.00712823,-33.49496993,7,0,4.3e-12,10.108298684378251
39,36.7670417628,37.7345954934,147.00462091,-33.50199352,0.00977625,-33.49221727,7,0,4.2e-12,14.789779588380778
40,37.7345954934,38.702149223999996,145.53735157,-33.50191639,0.00967868,-33.49223771,7,0,6.3e-12,14.755017042451323
41,38.702149223999996,39.6697029546,150.76798353,-33.50187722,0.01002653,-33.49185069,7,0,9.4e-12,15.413226461505593
42,39.6697029546,40.6372566852,143.75333772,-33.50186819,0.00956003,-33.49230815,7,0,7.1e-12,14.63521891450033
43,40.6372566852,41.604810415799996,149.49501185,-33.50188589,0.00994187,-33.49194402,7,0,5.4e-12,15.254499044111913
44,41.604810415799996,42.5723641464,147.96617098,-33.50192383,0.0098402,-33.49208363,7,0,4.7e-12,15.017062691990654
45,42.5723641464,43.539917877,204.21918957,-33.50197588,0.0135812,-33.48839468,7,0,4.3e-12,21.29090289775665
46,43.539917877,44.507471607599996,196.91705321,-33.5020292,0.01309558,-33.48893362,7,0,5.6e-12,20.374321366296012
47,44.507471607599996,45.4750253382,222.50276424,-33.50206467,0.01479711,-33.48726756,7,0,5.4e-12,23.207809001854578
48,45.4750253382,46.4425790688,213.78422751,-33.50207361,0.0142173,-33.48785631,7,0,6.4e-12,22.20651502358665
49,46.4425790688,47.410132799399996,200.30814993,-33.50205005,0.0133211,-33.48872895,7,0,7e-12,20.722406017723134
50,47.410132799399996,48.37768653,201.72364817,-33.50199785,0.01341524,-33.48858261,7,0,6.9e-12,20.97128815917648
51,48.37768653,49.3452402606,210.72688669,-33.50191531,0.01401398,-33.48790133,7,0,7.4e-12,22.12994898553406
52,49.3452402606,50.312793991199996,227.56665169,-33.50179652,0.01513387,-33.48666264,7,0,7.9e-12,24.23660348735092
53,50.312793991199996,51.2803477218,223.99540835,-33.50163154,0.01489638,-33.48673517,7,0,8.3e-12,24.113250872067468
54,51.2803477218,52.2479014524,211.18377598,-33.50142616,0.01404436,-33.48738179,7,0,7.1e-12,23.013536711172563
55,52.2479014524,53.215455182999996,196.65503078,-33.50119121,0.01307816,-33.48811306,7,0,6.8e-12,21.76985730991126
56,53.215455182999996,54.1830089136,190.36866805,-33.50093747,0.0126601,-33.48827738,7,0,5.6e-12,21.490396373171578
57,54.1830089136,55.1505626442,190.98576521,-33.50066718,0.01270113,-33.48796605,7,0,5.3e-12,22.019878928173355
58,55.1505626442,56.118116374799996,185.01278158,-33.5003795,0.01230391,-33.48807558,7,0,5.4e-12,21.833599982197832
59,56.118116374799996,57.0856701054,204.55711001,-33.50008513,0.01360367,-33.48648146,7,0,5.3e-12,24.544738422351287
60,57.0856701054,58.053223836,222.06492278,-33.49976288,0.01476799,-33.48499489,7,0,6e-12,27.072965325577844
61,58.053223836,59.020777566599996,200.12485909,-33.49941158,0.01330891,-33.48610267,7,0,7.2e-12,25.188950984607263
62,59.020777566599996,59.9883312972,211.1489457,-33.49907326,0.01404205,-33.48503122,7,0,6.8e-12,27.011178471682435
63,59.9883312972,60.9558850278,226.95636804,-33.49872544,0.01509329,-33.48363216,7,0,8.3e-12,29.390576099271616
64,60.9558850278,61.923438758399996,196.60696871,-33.49836491,0.01307496,-33.48528995,7,0,1e-11,26.571153348970505
65,61.923438758399996,62.890992489,181.71986254,-33.4980436,0.01208492,-33.48595868,7,0,9.2e-12,25.433836453701325
66,62.890992489,63.8585462196,194.94677954,-33.49776254,0.01296455,-33.48479798,7,0,1e-11,27.40785245468336
67,63.8585462196,64.8260999502,228.00351772,-33.4975034,0.01516293,-33.48234047,7,0,1.2e-11,31.587368318030336
68,64.8260999502,65.79365368079999,183.36724388,-33.49725172,0.01219448,-33.48505724,7,0,1.4e-11,26.96692595479996
69,65.79365368079999,66.7612074114,195.24418511,-33.49706995,0.01298433,-33.48408562,7,0,1.4e-11,28.61937139882276
70,66.7612074114,67.728761142,224.37926475,-33.49693273,0.0149219,-33.48201082,7,0,1.7e-11,32.14800791027567
71,67.728761142,68.6963148726,216.37393922,-33.49683352,0.01438953,-33.482444,7,0,1.7e-11,31.41129364189547
72,68.6963148726,69.6638686032,219.99083362,-33.49678858,0.01463006,-33.48215852,7,0,1e-11,31.896812800993388
73,69.6638686032,70.6314223338,233.36091585,-33.49679992,0.01551921,-33.48128071,7,0,6.2e-12,33.389714486028005
74,70.6314223338,71.59897606439999,228.15991932,-33.49686877,0.01517333,-33.48169544,7,0,3.4e-12,32.68437834741082
75,71.59897606439999,72.566529795,232.00965571,-33.49699709,0.01542935,-33.48156774,7,0,2e-12,32.90155922388691
76,72.566529795,73.5340835256,276.16840459,-33.49718834,0.01836604,-33.4788223,7,0,2e-12,37.570760989845034
77,73.5340835256,74.5016372562,283.7903774,-33.49745105,0.01887292,-33.47857812,7,0,3.7e-12,37.986040758184316
78,74.5016372562,75.4691909868,271.21128541,-33.49776758,0.01803638,-33.47973121,6,0,8.8e-11,36.02496717279297
79,75.4691909868,76.4367447174,267.40100995,-33.49812924,0.01778298,-33.48034626,6,0,5.2e-11,34.97894447838012
80,76.4367447174,77.40429844799999,225.77541114,-33.49854113,0.01501475,-33.48352638,6,0,3.7e-11,29.570477376587668
81,77.40429844799999,78.3718521786,239.11805156,-33.49897879,0.01590208,-33.48307671,6,0,1.9e-11,30.335236379917895
82,78.3718521786,79.3394059092,235.58456186,-33.49948503,0.01566709,-33.48381794,6,0,2.3e-11,29.074617890718695
83,79.3394059092,80.3069596398,229.36604819,-33.50003932,0.01525354,-33.48478578,6,0,3.7e-11,27.428601136696713
84,80.3069596398,81.2745133704,196.39481176,-33.50063472,0.01306085,-33.48757387,6,0,5.4e-11,22.686864019292997
85,81.2745133704,82.242067101,223.01754292,-33.50123556,0.01483135,-33.48640422,6,0,6.9e-11,24.676101389459046
86,82.242067101,83.20962083159999,202.14051306,-33.50191556,0.01344296,-33.4884726,7,0,1.4e-12,21.158383446734423
87,83.20962083159999,84.1771745622,198.18352651,-33.50259905,0.01317981,-33.48941924,7,0,2e-12,19.548421779498852
88,84.1771745622,85.1447282928,214.5864151,-33.50330663,0.01427065,-33.48903598,7,0,3.1e-12,20.200236522787925
89,85.1447282928,86.1122820234,218.97646787,-33.50406297,0.0145626,-33.48950037,7,0,5.1e-12,19.41044304410644
90,86.1122820234,87.079835754,248.88324469,-33.50483801,0.01655149,-33.48828651,7,0,1.1e-11,21.474868875891147
91,87.079835754,88.0473894846,267.95728738,-33.50566103,0.01781997,-33.48784106,7,0,1.5e-11,22.232450876097296
92,88.0473894846,89.01494321519999,249.66523733,-33.50649888,0.0166035,-33.48989538,7,0,1.6e-11,18.738644939045088
93,89.01494321519999,89.9824969458,255.68695078,-33.50728822,0.01700396,-33.49028426,7,0,1.5e-11,18.077272196331755
94,89.9824969458,90.9500506764,268.53977264,-33.50806088,0.01785871,-33.49020217,7,0,1.3e-11,18.216883614889003
95,90.9500506764,91.917604407,264.2271436,-33.50881716,0.01757191,-33.49124525,7,0,1.3e-11,16.442905317055594
96,91.917604407,92.8851581376,260.15444871,-33.50952652,0.01730106,-33.49222546,7,0,1.2e-11,14.775850760041644
97,92.8851581376,93.8527118682,280.43005907,-33.51018579,0.01864945,-33.49153634,7,0,1.1e-11,15.947845165651227
98,93.8527118682,94.82026559879999,308.57884179,-33.5108161,0.02052143,-33.49029467,7,0,1.2e-11,18.059567788164873
99,94.82026559879999,95.7878193294,341.01310611,-33.51141022,0.02267841,-33.48873181,7,0,1.3e-11,20.717541982440075
100,95.7878193294,96.75537306,348.8866995,-33.51195337,0.02320203,-33.48875134,7,0,1.3e-11,20.684327084098488
